date,product_name,category,region,quantity,unit_price
2024-01-01,Product A,Electronics,North,10,99.99
2024-01-02,Product B,Clothing,South,5,49.99
2024-01-03,Product C,Electronics,East,8,79.99
2024-01-04,Product A,Electronics,West,12,99.99
2024-01-05,Product D,Clothing,North,15,29.99
2024-01-06,Product B,Clothing,South,7,49.99
2024-01-07,Product E,Electronics,East,20,149.99
2024-01-08,Product C,Electronics,West,6,79.99
2024-01-09,Product A,Electronics,North,9,99.99
2024-01-10,Product F,Clothing,South,11,39.99
2024-01-11,Product D,Clothing,East,18,29.99
2024-01-12,Product E,Electronics,West,14,149.99
2024-01-13,Product B,Clothing,North,6,49.99
2024-01-14,Product C,Electronics,South,10,79.99
2024-01-15,Product A,Electronics,East,13,99.99
